Currency code,Date,Units per USD
AUD,2019-11-25 00:00:00,1.4746
CAD,2019-11-25 00:00:00,1.3307
INR,2019-11-25 00:00:00,71.7088
MYR,2019-11-25 00:00:00,4.1785
SGD,2019-11-25 00:00:00,1.3654
EUR,2019-11-25 00:00:00,0.9084
USD,2019-11-22 00:00:00,1.0
JPY,2019-11-22 00:00:00,108.5458
GBP,2019-11-22 00:00:00,0.7775
CHF,2019-11-22 00:00:00,0.9942
AUD,2019-11-22 00:00:00,1.4729
CAD,2019-11-22 00:00:00,1.3275
INR,2019-11-22 00:00:00,71.6866
MYR,2019-11-22 00:00:00,4.171
SGD,2019-11-22 00:00:00,1.363
EUR,2019-11-22 00:00:00,0.9043
USD,2019-11-21 00:00:00,1.0
JPY,2019-11-21 00:00:00,108.6106
GBP,2019-11-21 00:00:00,0.7713
CHF,2019-11-21 00:00:00,0.9916
AUD,2019-11-21 00:00:00,1.468
CAD,2019-11-21 00:00:00,1.3307
INR,2019-11-21 00:00:00,71.7406
MYR,2019-11-21 00:00:00,4.1695
SGD,2019-11-21 00:00:00,1.3613
EUR,2019-11-21 00:00:00,0.9016
USD,2019-11-20 00:00:00,1.0
JPY,2019-11-20 00:00:00,108.4727
GBP,2019-11-20 00:00:00,0.7751
CHF,2019-11-20 00:00:00,0.9926
AUD,2019-11-20 00:00:00,1.4673
CAD,2019-11-20 00:00:00,1.3302
INR,2019-11-20 00:00:00,71.8175
MYR,2019-11-20 00:00:00,4.1655
SGD,2019-11-20 00:00:00,1.3617
EUR,2019-11-20 00:00:00,0.9042
USD,2019-11-19 00:00:00,1.0
JPY,2019-11-19 00:00:00,108.7479
GBP,2019-11-19 00:00:00,0.7725
CHF,2019-11-19 00:00:00,0.9912
AUD,2019-11-19 00:00:00,1.4656
CAD,2019-11-19 00:00:00,1.321
INR,2019-11-19 00:00:00,71.6778
MYR,2019-11-19 00:00:00,4.1575
SGD,2019-11-19 00:00:00,1.3605
EUR,2019-11-19 00:00:00,0.9028
USD,2019-11-18 00:00:00,1.0
JPY,2019-11-18 00:00:00,108.9865
GBP,2019-11-18 00:00:00,0.7714
CHF,2019-11-18 00:00:00,0.9909
AUD,2019-11-18 00:00:00,1.4684
CAD,2019-11-18 00:00:00,1.3219
INR,2019-11-18 00:00:00,71.8073
MYR,2019-11-18 00:00:00,4.1555
SGD,2019-11-18 00:00:00,1.3604
EUR,2019-11-18 00:00:00,0.9041
USD,2019-11-15 00:00:00,1.0
JPY,2019-11-15 00:00:00,108.7094
GBP,2019-11-15 00:00:00,0.7763
CHF,2019-11-15 00:00:00,0.99
AUD,2019-11-15 00:00:00,1.4701
CAD,2019-11-15 00:00:00,1.3239
INR,2019-11-15 00:00:00,71.7446
MYR,2019-11-15 00:00:00,4.1523
SGD,2019-11-15 00:00:00,1.3613
EUR,2019-11-15 00:00:00,0.9063
USD,2019-11-14 00:00:00,1.0
JPY,2019-11-14 00:00:00,108.6569
GBP,2019-11-14 00:00:00,0.7788
CHF,2019-11-14 00:00:00,0.9887
AUD,2019-11-14 00:00:00,1.4743
CAD,2019-11-14 00:00:00,1.3265
INR,2019-11-14 00:00:00,71.9287
MYR,2019-11-14 00:00:00,4.1575
SGD,2019-11-14 00:00:00,1.363
EUR,2019-11-14 00:00:00,0.9093
USD,2019-11-13 00:00:00,1.0
JPY,2019-11-13 00:00:00,108.8406
GBP,2019-11-13 00:00:00,0.7792
CHF,2019-11-13 00:00:00,0.9898
AUD,2019-11-13 00:00:00,1.4653
CAD,2019-11-13 00:00:00,1.3258
INR,2019-11-13 00:00:00,72.0689
MYR,2019-11-13 00:00:00,4.1535
SGD,2019-11-13 00:00:00,1.3629
EUR,2019-11-13 00:00:00,0.9086
USD,2019-11-12 00:00:00,1.0
JPY,2019-11-12 00:00:00,109.1602
GBP,2019-11-12 00:00:00,0.7791
CHF,2019-11-12 00:00:00,0.9953
AUD,2019-11-12 00:00:00,1.4605
CAD,2019-11-12 00:00:00,1.3244
INR,2019-11-12 00:00:00,71.6922
MYR,2019-11-12 00:00:00,4.1425
SGD,2019-11-12 00:00:00,1.3612
EUR,2019-11-12 00:00:00,0.9079
USD,2019-11-11 00:00:00,1.0
JPY,2019-11-11 00:00:00,108.9485
GBP,2019-11-11 00:00:00,0.7766
CHF,2019-11-11 00:00:00,0.9938
AUD,2019-11-11 00:00:00,1.4587
CAD,2019-11-11 00:00:00,1.323
INR,2019-11-11 00:00:00,71.5429
MYR,2019-11-11 00:00:00,4.1436
SGD,2019-11-11 00:00:00,1.3608
EUR,2019-11-11 00:00:00,0.9057
